Województwo,Powiat,Gmina,Adres,Typ obszaru,Długość geograficzna,Szerokość geograficzna,Data pomiaru,Parametr pomiaru,Wynik pomiaru [V/m],Niepewność pomiaru [V/m],Średnia dla obszaru [V/m]
WOJ. DOLNOŚLĄSKIE,Powiat m. Wrocław,M. Wrocław,Wrocław. ul. Dokerska 54,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"16° 57' 46""","51° 8' 31""",2019-09-10,Składowa elektryczna 3[MHz]-300[GHz],0.92,0.17,0.464
WOJ. DOLNOŚLĄSKIE,Powiat m. Wrocław,M. Wrocław,Wrocław. ul. Wilanowska 33-43,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"17° 8' 19""","51° 9' 26""",2019-09-23,Składowa elektryczna 3[MHz]-300[GHz],0.67,0.12,0.464
WOJ. DOLNOŚLĄSKIE,Powiat m. Wrocław,M. Wrocław,Wrocław. Wzgórze Partyzantów,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"17° 2' 20""","51° 6' 15""",2019-09-16,Składowa elektryczna 3[MHz]-300[GHz],0.58,0.11,0.464
WOJ. DOLNOŚLĄSKIE,Powiat m. Wrocław,M. Wrocław,Wrocław. Wybrzeże Wyspiańskego,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"17° 3' 21""","51° 6' 26""",2019-09-03,Składowa elektryczna 3[MHz]-300[GHz],0.38,0.07,0.464
WOJ. DOLNOŚLĄSKIE,Powiat m. Wrocław,M. Wrocław,Wrocław. Park Nowowiejski,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"17° 3' 7""","51° 7' 14""",2019-09-19,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.464
WOJ. DOLNOŚLĄSKIE,Powiat m. Wrocław,M. Wrocław,Wrocław. ul. M. Bacciarelliego,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"17° 6' 42""","51° 6' 15""",2019-07-01,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.464
WOJ. DOLNOŚLĄSKIE,Powiat m. Wrocław,M. Wrocław,Wrocław. ul. Sopocka 10,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"17° 3' 50""","51° 7' 0""",2019-07-11,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.464
WOJ. DOLNOŚLĄSKIE,Powiat m. Wrocław,M. Wrocław,Wrocław. ul. Hermanowska 41,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"16° 57' 10""","51° 7' 24""",2019-07-03,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.464
WOJ. DOLNOŚLĄSKIE,Powiat m. Wrocław,M. Wrocław,Wrocław. ul. Krępicka 46,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"16° 51' 43""","51° 9' 0""",2019-05-17,Składowa elektryczna 3[MHz]-300[GHz],1.32,0.25,0.464
WOJ. DOLNOŚLĄSKIE,Powiat m. Wrocław,M. Wrocław,Wrocław. ul. Jelenia 48,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"16° 59' 39""","51° 7' 30""",2019-09-27,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.464
WOJ. DOLNOŚLĄSKIE,Powiat m. Wrocław,M. Wrocław,Wrocław. ul. Niskie Łąki 35,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"17° 4' 10""","51° 5' 49""",2019-06-12,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.464
WOJ. DOLNOŚLĄSKIE,Powiat m. Wrocław,M. Wrocław,Wrocław. ul. Zimowa,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"17° 0' 4""","51° 4' 17""",2019-06-25,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.464
WOJ. DOLNOŚLĄSKIE,Powiat m. Wrocław,M. Wrocław,Wrocław. ul. Asnyka,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"17° 3' 17""","51° 8' 28""",2019-07-30,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.464
WOJ. DOLNOŚLĄSKIE,Powiat m. Wrocław,M. Wrocław,Wrocław. ul. Gorlicka 74,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"17° 7' 27""","51° 8' 38""",2019-07-31,Składowa elektryczna 3[MHz]-300[GHz],0.2,,0.464
WOJ. DOLNOŚLĄSKIE,Powiat m. Wrocław,M. Wrocław,Wrocław. ul. Weigla 3a,Centralne dzielnice lub osiedla miast o liczbie mieszkańców przekraczającej 50 tys.,"17° 1' 10""","51° 4' 35""",2019-09-13,Składowa elektryczna 3[MHz]-300[GHz],1.74,0.31,0.464
WOJ. DOLNOŚLĄSKIE,Powiat dzierżoniowski,Pieszyce,Pieszyce. ul. 1-go maja,Pozostałe miasta,"16° 34' 38""","50° 42' 26""",2019-08-05,Składowa elektryczna 3[MHz]-300[GHz],0.78,0.15,0.344
WOJ. DOLNOŚLĄSKIE,Powiat jaworski,Jawor,Jawor. Sikorskiego,Pozostałe miasta,"16° 10' 42""","51° 3' 35""",2019-04-24,Składowa elektryczna 3[MHz]-300[GHz],0.27,0.06,0.344
WOJ. DOLNOŚLĄSKIE,Powiat jeleniogórski,Kowary,Kowary. ul. Sienkiewicza,Pozostałe miasta,"15° 49' 54""","50° 47' 36""",2019-05-08,Składowa elektryczna 3[MHz]-300[GHz],0.35,0.07,0.344
WOJ. DOLNOŚLĄSKIE,Powiat jeleniogórski,Szklarska Poręba,Szklarska Poręba. ul. Mała,Pozostałe miasta,"15° 31' 40""","50° 49' 27""",2019-06-04,Składowa elektryczna 3[MHz]-300[GHz],0.36,0.07,0.344
